rank,file_name,final_score,similarity_score,skill_match_score,years_experience,education,matched_skills,missing_skills,reasoning
1,01_aditi_sharma.txt,44.62,27.46,70.37,5.0,Bachelor's,agile; aws; ci/cd; data pipelines; django; docker; etl; fastapi; flask; git; kafka; kubernetes; microservices; mongodb; postgresql; python; redis; rest api; unit testing,azure; gcp; machine learning; mysql; nlp; rabbitmq; sql; sqs,
2,09_grace_kim.docx,34.94,21.2,55.56,8.0,Master's,agile; aws; ci/cd; data pipelines; docker; etl; fastapi; gcp; kafka; kubernetes; machine learning; microservices; postgresql; python; sqs,azure; django; flask; git; mongodb; mysql; nlp; rabbitmq; redis; rest api; sql; unit testing,
3,11_natasha_ivanova.pdf,32.08,21.37,48.15,5.0,Master's,agile; ci/cd; data pipelines; docker; etl; fastapi; gcp; git; kafka; kubernetes; mongodb; postgresql; python,aws; azure; django; flask; machine learning; microservices; mysql; nlp; rabbitmq; redis; rest api; sql; sqs; unit testing,
4,03_sophia_lee.txt,30.0,17.89,48.15,4.0,Master's,aws; data pipelines; docker; fastapi; flask; git; kafka; machine learning; microservices; nlp; postgresql; python; rest api,agile; azure; ci/cd; django; etl; gcp; kubernetes; mongodb; mysql; rabbitmq; redis; sql; sqs; unit testing,
5,04_michael_chen.txt,27.77,16.65,44.44,6.0,Master's,agile; aws; ci/cd; data pipelines; docker; fastapi; gcp; kafka; kubernetes; microservices; postgresql; python,azure; django; etl; flask; git; machine learning; mongodb; mysql; nlp; rabbitmq; redis; rest api; sql; sqs; unit testing,
6,06_daniel_okafor.txt,25.27,14.96,40.74,4.0,,agile; aws; ci/cd; docker; flask; gcp; git; kubernetes; postgresql; python; redis,azure; data pipelines; django; etl; fastapi; kafka; machine learning; microservices; mongodb; mysql; nlp; rabbitmq; rest api; sql; sqs; unit testing,
7,02_rahul_verma.txt,24.12,13.04,40.74,3.0,Bachelor's,agile; django; docker; flask; gcp; git; mysql; postgresql; python; rest api; sql,aws; azure; ci/cd; data pipelines; etl; fastapi; kafka; kubernetes; machine learning; microservices; mongodb; nlp; rabbitmq; redis; sqs; unit testing,
8,08_arjun_mehta.txt,20.06,11.21,33.33,2.0,Bachelor's,agile; django; docker; flask; git; mysql; python; rest api; sql,aws; azure; ci/cd; data pipelines; etl; fastapi; gcp; kafka; kubernetes; machine learning; microservices; mongodb; nlp; postgresql; rabbitmq; redis; sqs; unit testing,
9,10_liam_oconnor.txt,16.11,9.57,25.93,1.0,Bachelor's,django; docker; flask; git; python; rest api; sql,agile; aws; azure; ci/cd; data pipelines; etl; fastapi; gcp; kafka; kubernetes; machine learning; microservices; mongodb; mysql; nlp; postgresql; rabbitmq; redis; sqs; unit testing,
10,12_carlos_mendes.txt,6.26,5.5,7.41,4.0,Bachelor's,python; sql,agile; aws; azure; ci/cd; data pipelines; django; docker; etl; fastapi; flask; gcp; git; kafka; kubernetes; machine learning; microservices; mongodb; mysql; nlp; postgresql; rabbitmq; redis; rest api; sqs; unit testing,
11,05_priya_nair.txt,5.49,4.22,7.41,3.0,Bachelor's,git; rest api,agile; aws; azure; ci/cd; data pipelines; django; docker; etl; fastapi; flask; gcp; kafka; kubernetes; machine learning; microservices; mongodb; mysql; nlp; postgresql; python; rabbitmq; redis; sql; sqs; unit testing,
12,07_emily_watson.txt,1.54,2.56,0.0,7.0,,,agile; aws; azure; ci/cd; data pipelines; django; docker; etl; fastapi; flask; gcp; git; kafka; kubernetes; machine learning; microservices; mongodb; mysql; nlp; postgresql; python; rabbitmq; redis; rest api; sql; sqs; unit testing,
